Accuracy,No. of Samples,No. of Distinct Writers,Writer IDs
100 ,161,50,"['002', '003', '004', '006', '010', '014', '018', '021', '030', '034', '074', '076', '077', '078', '079', '080', '081', '082', '084', '085', '086', '087', '088', '089', '092', '298', '299', '300', '301', '302', '303', '304', '305', '308', '309', '310', '311', '312', '313', '314', '315', '316', '317', '319', '320', '483', '485', '486', '488', '489']"
90-100,770,79,"['001', '002', '003', '004', '005', '006', '007', '008', '009', '010', '011', '012', '014', '015', '016', '018', '019', '021', '022', '023', '024', '026', '027', '028', '030', '031', '032', '034', '035', '074', '075', '076', '077', '078', '079', '080', '081', '082', '083', '084', '085', '086', '087', '088', '089', '090', '091', '092', '297', '298', '299', '300', '301', '302', '303', '304', '305', '306', '307', '308', '309', '310', '311', '312', '313', '314', '315', '316', '317', '318', '319', '320', '483', '484', '486', '487', '488', '489', '490']"
80-90,573,83,"['001', '002', '003', '004', '005', '006', '007', '008', '009', '010', '011', '012', '013', '014', '015', '016', '017', '018', '019', '020', '021', '022', '023', '024', '026', '028', '029', '030', '031', '032', '033', '035', '074', '075', '076', '077', '078', '079', '080', '081', '082', '083', '084', '085', '086', '087', '088', '089', '090', '091', '092', '297', '298', '299', '300', '301', '302', '303', '304', '305', '306', '307', '308', '309', '310', '311', '312', '313', '314', '315', '316', '317', '318', '319', '320', '483', '484', '485', '486', '487', '488', '489', '490']"
70-80,219,68,"['001', '002', '003', '008', '010', '011', '012', '013', '014', '016', '017', '020', '021', '022', '024', '025', '026', '029', '030', '032', '033', '034', '035', '074', '075', '077', '078', '079', '080', '081', '082', '083', '084', '086', '087', '088', '089', '090', '091', '092', '297', '298', '299', '300', '302', '303', '304', '305', '306', '307', '310', '311', '312', '313', '314', '315', '316', '317', '318', '319', '320', '484', '485', '486', '487', '488', '489', '490']"
60-70,71,33,"['001', '005', '008', '013', '016', '020', '025', '032', '033', '034', '074', '075', '076', '077', '079', '080', '085', '086', '089', '091', '297', '302', '303', '304', '310', '314', '483', '484', '485', '486', '487', '488', '489']"
50-60,10,6,"['024', '075', '089', '310', '312', '317']"
40-50,4,4,"['028', '074', '075', '089']"
30-40,3,2,"['075', '319']"
20-30,2,1,['089']
10-20,0,0,[]
0-10,0,0,[]
