Accuracy,No. of Samples,No. of Distinct Writers,Writer IDs
100 ,148,50,"['002', '003', '004', '006', '009', '010', '018', '021', '030', '034', '074', '076', '077', '078', '079', '080', '081', '082', '084', '085', '086', '087', '088', '089', '092', '298', '299', '300', '301', '302', '303', '304', '305', '308', '309', '310', '311', '312', '313', '314', '315', '316', '317', '319', '320', '483', '485', '486', '488', '489']"
90-100,767,78,"['001', '002', '003', '004', '005', '006', '007', '008', '009', '010', '011', '012', '014', '015', '016', '018', '019', '021', '022', '023', '024', '026', '027', '028', '030', '031', '032', '034', '035', '074', '076', '077', '078', '079', '080', '081', '082', '083', '084', '085', '086', '087', '088', '089', '090', '091', '092', '297', '298', '299', '300', '301', '302', '303', '304', '305', '306', '307', '308', '309', '310', '311', '312', '313', '314', '315', '316', '317', '318', '319', '320', '483', '484', '485', '486', '487', '488', '489']"
80-90,579,84,"['001', '002', '003', '004', '005', '006', '007', '008', '009', '010', '011', '012', '013', '014', '015', '016', '017', '018', '019', '020', '021', '022', '023', '024', '026', '028', '029', '030', '031', '032', '033', '034', '035', '074', '075', '076', '077', '078', '079', '080', '081', '082', '083', '084', '085', '086', '087', '088', '089', '090', '091', '092', '297', '298', '299', '300', '301', '302', '303', '304', '305', '306', '307', '308', '309', '310', '311', '312', '313', '314', '315', '316', '317', '318', '319', '320', '483', '484', '485', '486', '487', '488', '489', '490']"
70-80,219,65,"['001', '002', '003', '008', '010', '011', '012', '013', '014', '015', '017', '020', '021', '024', '025', '026', '029', '032', '033', '034', '035', '074', '075', '077', '078', '079', '080', '081', '082', '083', '084', '086', '087', '088', '089', '090', '091', '092', '297', '298', '299', '300', '302', '303', '304', '306', '307', '310', '311', '312', '313', '314', '315', '316', '317', '318', '319', '320', '484', '485', '486', '487', '488', '489', '490']"
60-70,74,35,"['001', '005', '008', '013', '016', '020', '025', '030', '032', '033', '034', '074', '075', '076', '077', '080', '085', '086', '089', '090', '091', '297', '302', '303', '304', '310', '314', '319', '483', '484', '485', '486', '487', '488', '489']"
50-60,19,10,"['024', '075', '079', '089', '297', '310', '312', '314', '317', '488']"
40-50,3,3,"['028', '074', '075']"
30-40,2,1,['075']
20-30,2,1,['089']
10-20,0,0,[]
0-10,0,0,[]
