Accuracy,No. of Samples,No. of Distinct Writers,Writer IDs
100 ,428,71,"['001', '002', '003', '004', '005', '006', '008', '009', '010', '011', '012', '014', '018', '021', '023', '024', '026', '027', '028', '030', '034', '074', '075', '076', '077', '078', '079', '080', '081', '082', '083', '084', '085', '086', '087', '088', '089', '090', '091', '092', '297', '298', '299', '300', '301', '302', '303', '304', '305', '306', '307', '308', '309', '310', '311', '312', '313', '314', '315', '316', '317', '318', '319', '320', '483', '485', '486', '487', '488', '489', '490']"
90-100,748,80,"['001', '002', '003', '004', '005', '006', '007', '008', '009', '010', '011', '012', '014', '015', '016', '018', '019', '021', '022', '023', '024', '026', '027', '028', '030', '031', '032', '034', '035', '074', '075', '076', '077', '078', '079', '080', '081', '082', '083', '084', '085', '086', '087', '088', '089', '090', '091', '092', '297', '298', '299', '300', '301', '302', '303', '304', '305', '306', '307', '308', '309', '310', '311', '312', '313', '314', '315', '316', '317', '318', '319', '320', '483', '484', '485', '486', '487', '488', '489', '490']"
80-90,426,82,"['001', '002', '003', '005', '007', '008', '009', '010', '011', '012', '013', '014', '015', '016', '017', '018', '020', '021', '022', '023', '024', '025', '026', '028', '029', '030', '031', '032', '033', '034', '035', '074', '075', '076', '077', '078', '079', '080', '081', '082', '083', '084', '085', '086', '087', '088', '089', '090', '091', '092', '297', '298', '299', '300', '301', '302', '303', '304', '305', '306', '307', '308', '309', '310', '311', '312', '313', '314', '315', '316', '317', '318', '319', '320', '483', '484', '485', '486', '487', '488', '489', '490']"
70-80,133,57,"['001', '003', '013', '014', '016', '017', '020', '021', '024', '025', '026', '028', '029', '030', '032', '033', '034', '035', '074', '075', '076', '077', '078', '079', '080', '081', '083', '084', '085', '087', '088', '089', '090', '091', '092', '297', '298', '299', '300', '302', '303', '304', '306', '307', '310', '312', '314', '315', '316', '317', '318', '319', '484', '486', '487', '488', '489']"
60-70,55,28,"['001', '005', '008', '013', '020', '024', '025', '032', '033', '075', '079', '086', '089', '090', '091', '297', '300', '303', '304', '310', '311', '312', '314', '484', '485', '486', '487', '488']"
50-60,15,9,"['013', '028', '075', '089', '297', '302', '314', '488', '489']"
40-50,4,3,"['075', '089', '297']"
30-40,1,1,['075']
20-30,3,3,"['074', '075', '089']"
10-20,0,0,[]
0-10,0,0,[]
