Accuracy,No. of Samples,No. of Distinct Writers,Writer IDs
100 ,261,60,"['002', '003', '004', '005', '006', '009', '010', '011', '014', '018', '021', '023', '024', '027', '028', '034', '074', '076', '077', '078', '079', '080', '081', '082', '084', '085', '086', '087', '088', '089', '092', '298', '299', '300', '301', '302', '303', '304', '305', '306', '307', '308', '309', '310', '311', '312', '313', '314', '315', '316', '317', '318', '319', '320', '483', '485', '486', '487', '488', '489']"
90-100,721,79,"['002', '003', '004', '005', '006', '007', '008', '009', '010', '011', '012', '013', '014', '015', '016', '018', '019', '021', '022', '023', '024', '026', '027', '028', '030', '031', '032', '034', '035', '074', '075', '076', '077', '078', '079', '080', '081', '082', '083', '084', '085', '086', '087', '088', '089', '090', '091', '092', '297', '298', '299', '300', '301', '302', '303', '304', '305', '306', '307', '308', '309', '311', '312', '313', '314', '315', '316', '317', '318', '319', '320', '483', '484', '485', '486', '487', '488', '489', '490']"
80-90,516,84,"['001', '002', '003', '004', '005', '006', '007', '008', '009', '010', '011', '012', '013', '015', '016', '017', '018', '019', '020', '021', '022', '023', '024', '025', '026', '028', '029', '030', '031', '032', '033', '034', '035', '074', '075', '076', '077', '078', '079', '080', '081', '082', '083', '084', '085', '086', '087', '088', '089', '090', '091', '092', '297', '298', '299', '300', '301', '302', '303', '304', '305', '306', '307', '308', '309', '310', '311', '312', '313', '314', '315', '316', '317', '318', '319', '320', '483', '484', '485', '486', '487', '488', '489', '490']"
70-80,175,66,"['001', '002', '003', '005', '010', '012', '015', '016', '017', '020', '024', '025', '026', '028', '029', '030', '031', '032', '033', '034', '035', '074', '075', '077', '078', '079', '080', '081', '082', '083', '084', '085', '087', '088', '089', '090', '091', '092', '297', '298', '299', '300', '301', '303', '304', '305', '306', '307', '308', '309', '310', '311', '312', '313', '314', '316', '317', '318', '319', '320', '483', '484', '485', '486', '487', '488']"
60-70,81,42,"['001', '003', '006', '010', '013', '014', '015', '016', '028', '030', '033', '034', '074', '075', '076', '077', '078', '082', '083', '086', '088', '089', '090', '091', '297', '298', '299', '303', '304', '307', '309', '310', '311', '312', '314', '316', '317', '319', '484', '487', '488', '489']"
50-60,35,20,"['003', '009', '014', '024', '075', '076', '078', '080', '081', '086', '088', '089', '310', '312', '315', '318', '319', '320', '486', '488']"
40-50,6,6,"['016', '020', '074', '075', '089', '308']"
30-40,11,7,"['075', '079', '085', '089', '305', '314', '488']"
20-30,3,3,"['074', '075', '089']"
10-20,2,2,"['075', '319']"
0-10,2,2,"['075', '319']"
